dataset	shot	status	accuracy	accuracy_std	num_runs
Haptics	2	success	0.2857142857	0.0471618151	5
Haptics	5	success	0.3333333333	0.0450273681	5
Herring	1	success	0.4843750000	0.1093750000	5
Herring	10	success	0.5572916667	0.0502273477	5
Herring	2	success	0.5208333333	0.1193379087	5
Herring	5	success	0.4583333333	0.0631476857	5
HouseTwenty	1	success	0.6582633053	0.0295116352	5
HouseTwenty	10	success	0.8291316527	0.0339617805	5
HouseTwenty	2	success	0.6134453782	0.0524789748	5
HouseTwenty	5	success	0.7170868347	0.0619421411	5
InlineSkate	1	success	0.1521212121	0.0272929218	5
InlineSkate	10	success	0.2478787879	0.0121060511	5
InlineSkate	2	success	0.1866666667	0.0176591543	5
InlineSkate	5	success	0.2539393939	0.0176591543	5
InsectEPGRegularTrain	1	success	0.5528781794	0.0807551868	5
InsectEPGRegularTrain	10	success	0.7858099063	0.0306731974	5
InsectEPGRegularTrain	2	success	0.6331994645	0.0777015896	5
InsectEPGRegularTrain	5	success	0.7416331995	0.0341562271	5
InsectEPGSmallTrain	1	success	0.4738955823	0.1332583134	5
InsectEPGSmallTrain	10	success	0.7925033467	0.0182533852	5
InsectEPGSmallTrain	2	success	0.5850066934	0.0984004041	5
InsectEPGSmallTrain	5	success	0.7523427041	0.0381702207	5
InsectWingbeatSound	1	success	0.2422558923	0.0297822820	5
InsectWingbeatSound	10	success	0.3868686869	0.0171717172	5
InsectWingbeatSound	2	success	0.2878787879	0.1225912815	5
InsectWingbeatSound	5	success	0.3336700337	0.0311101819	5
ItalyPowerDemand	1	success	0.7470035633	0.2235947249	5
ItalyPowerDemand	10	success	0.9138321995	0.0290950695	5
ItalyPowerDemand	2	success	0.7000323939	0.2081081188	5
ItalyPowerDemand	5	success	0.8862973761	0.0286809613	5
LargeKitchenAppliances	1	success	0.4533333333	0.0547154254	5
LargeKitchenAppliances	10	success	0.5173333333	0.0290661528	5
LargeKitchenAppliances	2	success	0.4195555556	0.0259000929	5
LargeKitchenAppliances	5	success	0.5297777778	0.1006762321	5
Lightning2	1	success	0.5300546448	0.0250413972	5
Lightning2	10	success	0.7049180328	0.0283942755	5
Lightning2	2	success	0.5846994536	0.0946475851	5
Lightning2	5	success	0.7049180328	0.0591073980	5
Lightning7	1	success	0.4566210046	0.0518621767	5
Lightning7	10	success	0.6940639269	0.0158178156	5
Lightning7	2	success	0.5479452055	0.1306766029	5
Lightning7	5	success	0.6392694064	0.0481080080	5
Mallat	1	success	0.5920398010	0.0172501566	5
Mallat	10	success	0.5653162758	0.0213744911	5
Mallat	2	success	0.6888415068	0.0422892142	5
Mallat	5	success	0.6598436389	0.0151990345	5
Meat	1	success	0.4555555556	0.1071516751	5
Meat	10	success	0.6000000000	0.1166666667	5
Meat	2	success	0.6555555556	0.0962250449	5
Meat	5	success	0.6111111111	0.0168738621	5
MedicalImages	1	success	0.2763157895	0.0485060752	5
MedicalImages	10	success	0.4421052632	0.0813132345	5
MedicalImages	2	success	0.2947368421	0.0567622490	5
MedicalImages	5	success	0.3820175439	0.0213925411	5
MelbournePedestrian	1	success	0.4425310920	0.1052795474	5
MelbournePedestrian	10	success	0.6225228919	0.0377567549	5
MelbournePedestrian	2	success	0.4440344403	0.0245626335	5
MelbournePedestrian	5	success	0.5647123138	0.0342060731	5
MiddlePhalanxOutlineAgeGroup	1	success	0.3831168831	0.1030812199	5
MiddlePhalanxOutlineAgeGroup	10	success	0.5887445887	0.0310120956	5
MiddlePhalanxOutlineAgeGroup	2	success	0.3701298701	0.0687208133	5
MiddlePhalanxOutlineAgeGroup	5	success	0.5324675325	0.0982645841	5
MiddlePhalanxOutlineCorrect	1	success	0.5257731959	0.0924008911	5
MiddlePhalanxOutlineCorrect	10	success	0.5990836197	0.0241366638	5
MiddlePhalanxOutlineCorrect	2	success	0.4490263459	0.0848270725	5
MiddlePhalanxOutlineCorrect	5	success	0.4994272623	0.1383277122	5
MiddlePhalanxTW	1	success	0.3528138528	0.0976907714	5
MiddlePhalanxTW	10	success	0.4718614719	0.0262431941	5
MiddlePhalanxTW	2	success	0.4588744589	0.0724057519	5
MiddlePhalanxTW	5	success	0.4199134199	0.1049727762	5
MixedShapesRegularTrain	1	success	0.4839862543	0.0549945005	5
MixedShapesRegularTrain	10	success	0.7407560137	0.0243624920	5
MixedShapesRegularTrain	2	success	0.6448109966	0.0727836025	5
MixedShapesRegularTrain	5	success	0.6919587629	0.0159763881	5
MixedShapesSmallTrain	1	success	0.5906529210	0.0488661244	5
MixedShapesSmallTrain	10	success	0.7495532646	0.0120390715	5
MixedShapesSmallTrain	2	success	0.6152577320	0.0410386979	5
MixedShapesSmallTrain	5	success	0.7113402062	0.0233672933	5
MoteStrain	1	success	0.5745473908	0.1870038993	5
MoteStrain	10	success	0.8296059638	0.0206023761	5
MoteStrain	2	success	0.5931842386	0.1593372073	5
MoteStrain	5	success	0.7989882854	0.0270309694	5
NonInvasiveFetalECGThorax1	1	success	0.2453053787	0.1116187961	5
NonInvasiveFetalECGThorax1	10	success	0.5130449034	0.0244065666	5
NonInvasiveFetalECGThorax1	2	success	0.3649055740	0.0557063403	5
NonInvasiveFetalECGThorax1	5	success	0.4641018009	0.0275256627	5
NonInvasiveFetalECGThorax2	1	success	0.3964498179	0.1853112704	5
NonInvasiveFetalECGThorax2	10	success	0.6677000828	0.0281665156	5
NonInvasiveFetalECGThorax2	2	success	0.4687020562	0.0416432741	5
NonInvasiveFetalECGThorax2	5	success	0.5573017337	0.0411005574	5
OSULeaf	1	success	0.2906336088	0.0532935045	5
OSULeaf	10	success	0.4944903581	0.0415968839	5
OSULeaf	2	success	0.3223140496	0.0353058006	5
OSULeaf	5	success	0.4022038567	0.0580476791	5
OliveOil	1	success	0.3666666667	0.0881917104	5
OliveOil	10	success	0.4000000000	0.0311951431	5
OliveOil	2	success	0.3333333333	0.1154700538	5
OliveOil	5	success	0.2888888889	0.1170628195	5
PLAID	1	success	0.3060211049	0.0524840219	5
PLAID	10	success	0.5698324022	0.0242085661	5
PLAID	2	success	0.4003724395	0.0605428983	5
PLAID	5	success	0.5071384233	0.0294635488	5
PhalangesOutlinesCorrect	1	success	0.5306915307	0.0676225075	5
PhalangesOutlinesCorrect	10	success	0.5240870241	0.1220404576	5
PhalangesOutlinesCorrect	2	success	0.5271950272	0.0582789431	5
PhalangesOutlinesCorrect	5	success	0.5244755245	0.0784270575	5
Phoneme	1	success	0.0712178265	0.0700650064	5
Phoneme	10	success	0.1725130117	0.0491962887	5
Phoneme	2	success	0.1050354842	0.0514515799	5
Phoneme	5	success	0.1582021406	0.0238161515	5
PickupGestureWiimoteZ	1	success	0.4133333333	0.0702376917	5
PickupGestureWiimoteZ	10	success	0.6333333333	0.0461880215	5
PickupGestureWiimoteZ	2	success	0.5866666667	0.0115470054	5
PickupGestureWiimoteZ	5	success	0.6133333333	0.0230940108	5
PigAirwayPressure	1	success	0.0577495418	0.0521154986	5
PigAirwayPressure	10	success	0.0481420535	0.0474754614	5
PigAirwayPressure	2	success	0.0721113560	0.0609385019	5
PigAirwayPressure	5	success	0.0769363563	0.0301799538	5
PigArtPressure	1	success	0.1779356333	0.0621790799	5
PigArtPressure	10	success	0.2452086909	0.0498607918	5
PigArtPressure	2	success	0.2500138592	0.0636028482	5
PigArtPressure	5	success	0.2356093885	0.0658420237	5
PigCVP	1	success	0.1058065405	0.0686379341	5
PigCVP	10	success	0.1827292055	0.0469755657	5
PigCVP	2	success	0.1683003477	0.0460763635	5
PigCVP	5	success	0.1587428428	0.0563019200	5
